movie_id,title,overview,rating,popularity,release_date,poster_path,genre_ids,genres,combined_features,imdb_link
1226863,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",6.7,455.6196,2026-04-01,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,"[10751, 35, 12, 14, 16]",Family Comedy Adventure Fantasy Animation,"The Super Mario Galaxy Movie Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade. Family Comedy Adventure Fantasy Animation",https://www.themoviedb.org/movie/1226863
1007757,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",8.882,475.4302,2026-05-01,/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,"[12, 16, 10751, 14]",Adventure Animation Family Fantasy,"Swapped A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home. Adventure Animation Family Fantasy",https://www.themoviedb.org/movie/1007757
1318447,Apex,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,6.554,356.4896,2026-04-24,/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,"[28, 53]",Action Thriller,Apex A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey. Action Thriller,https://www.themoviedb.org/movie/1318447
10867,Malena,"12-year-old Renato experiences three significant events on the same day: the beginning of the Second World War, getting a bike, and witnessing the arrival of the gorgeous Malèna. Through his eyes, we see the curse of beauty and loneliness of Malena, whose husband is presumed dead, and, through his soul, we see his love for her.",7.431,197.6598,2000-10-27,/3OyQTl0IGkbnjDxd3MhztfPE34g.jpg,[18],Drama,"Malena 12-year-old Renato experiences three significant events on the same day: the beginning of the Second World War, getting a bike, and witnessing the arrival of the gorgeous Malèna. Through his eyes, we see the curse of beauty and loneliness of Malena, whose husband is presumed dead, and, through his soul, we see his love for her. Drama",https://www.themoviedb.org/movie/10867
1198994,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",7.022,271.4875,2026-01-22,/mjkS2iAgWj3ik1DTjvI15nHZ7yl.jpg,"[27, 53, 35]",Horror Thriller Comedy,"Send Help Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive. Horror Thriller Comedy",https://www.themoviedb.org/movie/1198994
350,The Devil Wears Prada,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",7.397,297.0386,2006-06-29,/8912AsVuS7Sj915apArUFbv6F9L.jpg,"[18, 35]",Drama Comedy,"The Devil Wears Prada A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine. Drama Comedy",https://www.themoviedb.org/movie/350
687163,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",8.205,230.3248,2026-03-15,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,"[878, 12]",Science Fiction Adventure,"Project Hail Mary Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction. Science Fiction Adventure",https://www.themoviedb.org/movie/687163
931285,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",7.182,224.6327,2026-05-06,/lIsMeDbwntNXSUVHmWMMRXEZOVc.jpg,"[28, 14, 12]",Action Fantasy Adventure,"Mortal Kombat II The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders. Action Fantasy Adventure",https://www.themoviedb.org/movie/931285
1266127,Ready or Not 2: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",7.428,198.5451,2026-03-19,/13ZcJzSGEqVgDSqsS9U5EkQwPkV.jpg,"[27, 35]",Horror Comedy,"Ready or Not 2: Here I Come Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all. Horror Comedy",https://www.themoviedb.org/movie/1266127
1523145,Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",6.9,254.1731,2026-03-26,/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,"[10749, 18]",Romance Drama,"Your Heart Will Be Broken High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers. Romance Drama",https://www.themoviedb.org/movie/1523145
